iter	seq	start	end	strand	locus_tag	com_id	type	description
36	CP037923.1	41645	42489	-1	EKN05_000185	ttdA	pseudo	L(+)-tartrate dehydratase subunit alpha
37	CP037923.1	42695	43627	1	EKN05_000190	ttdR	pseudo	DNA-binding transcriptional activator TtdR
38	CP037923.1	43639	44257	-1	EKN05_000195	plsY	CDS	glycerol-3-phosphate 1-O-acyltransferase PlsY
39	CP037923.1	44361	44730	1	EKN05_000200	folB	CDS	bifunctional dihydroneopterin aldolase/7
40	CP037923.1	44820	45642	1	EKN05_000205	bacA	CDS	undecaprenyl-diphosphate phosphatase
41	CP037923.1	45804	47043	-1	EKN05_000210	cca	CDS	fused tRNA nucleotidyltransferase/2'
42	CP037923.1	47106	47727	-1	EKN05_000215	ygiM	CDS	SH3 domain-containing protein
43	CP037923.1	47968	49270	1	EKN05_000220	EKN05_000220	CDS	inorganic triphosphatase
44	CP037923.1	49292	52133	1	EKN05_000225	glnE	CDS	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase
45	CP037923.1	52180	53614	1	EKN05_000230	hldE	CDS	bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE
46	CP037923.1	53733	53793	-1	EKN05_000235	ibsE	CDS	type I toxin-antitoxin system toxin IbsE
47	CP037923.1	54109	54169	-1	EKN05_000240	EKN05_000240	CDS	type I toxin-antitoxin system Ibs family toxin
48	CP037923.1	54407	55316	-1	EKN05_000245	EKN05_000245	CDS	hypothetical protein
49	CP037923.1	55349	56047	-1	EKN05_000250	insB	pseudo	IS1 family transposase
50	CP037923.1	56125	56823	-1	EKN05_000255	EKN05_000255	pseudo	IS1 family transposase
51	CP037923.1	56873	58093	-1	EKN05_000260	EKN05_000260	CDS	IS3-like element IS2 family transposase
52	CP037923.1	58303	58594	-1	EKN05_000265	EKN05_000265	CDS	accessory factor UbiK family protein
53	CP037923.1	58967	59621	1	EKN05_000270	ribB	CDS	3
54	CP037923.1	60109	60883	-1	EKN05_000275	zupT	CDS	zinc transporter ZupT
55	CP037923.1	60998	61814	1	EKN05_000280	ygiD	CDS	4
56	CP037923.1	61851	63012	-1	EKN05_000285	ygiC	CDS	glutathionylspermidine synthase family protein
57	CP037923.1	63017	63689	-1	EKN05_000290	EKN05_000290	CDS	DUF1190 family protein
58	CP037923.1	63836	65318	-1	EKN05_000295	tolC	CDS	outer membrane channel protein TolC
59	CP037923.1	65522	66152	1	EKN05_000300	nudF	CDS	ADP-ribose diphosphatase
60	CP037923.1	66152	66575	1	EKN05_000305	EKN05_000305	CDS	DUF1249 family protein
61	CP037923.1	66599	67427	1	EKN05_000310	cpdA	CDS	3'
62	CP037923.1	67426	68008	1	EKN05_000315	yqiA	CDS	esterase YqiA
63	CP037923.1	68036	69929	1	EKN05_000320	parE	CDS	DNA topoisomerase IV subunit B
64	CP037923.1	69976	70291	-1	EKN05_000325	EKN05_000325	CDS	antibiotic biosynthesis monooxygenase
65	CP037923.1	70321	70903	-1	EKN05_000330	mdaB	CDS	NADPH:quinone oxidoreductase MdaB
66	CP037923.1	71221	71554	1	EKN05_000335	EKN05_000335	CDS	DUF2645 family protein
67	CP037923.1	71599	72949	-1	EKN05_000340	qseC	CDS	two-component system sensor histidine kinase QseC
68	CP037923.1	72945	73605	-1	EKN05_000345	qseB	CDS	two-component system response regulator QseB
69	CP037923.1	73756	74149	1	EKN05_000350	ygiW	CDS	OB fold stress tolerance protein YgiW
70	CP037923.1	74201	74684	1	EKN05_000355	EKN05_000355	CDS	AraC family transcriptional regulator
71	CP037923.1	75229	77488	1	EKN05_000360	parC	CDS	DNA topoisomerase 4 subunit A
72	CP037923.1	77721	78459	1	EKN05_000365	plsC	CDS	1-acylglycerol-3-phosphate O-acyltransferase
73	CP037923.1	78533	79946	1	EKN05_000370	ftsP	CDS	cell division protein FtsP
74	CP037923.1	80056	80897	1	EKN05_000375	EKN05_000375	pseudo	radical SAM protein
75	CP037923.1	81179	82235	1	EKN05_000380	EKN05_000380	pseudo	DUF3362 domain-containing protein
76	CP037923.1	82277	82535	-1	EKN05_000385	yqhH	CDS	lipoprotein YqhH
77	CP037923.1	82585	83512	-1	EKN05_000390	EKN05_000390	CDS	DUF3828 domain-containing protein
78	CP037923.1	83711	84539	-1	EKN05_000395	dkgA	CDS	2
79	CP037923.1	84643	85807	-1	EKN05_000400	yqhD	CDS	alcohol dehydrogenase
80	CP037923.1	85943	86899	1	EKN05_000405	EKN05_000405	pseudo	AraC family transcriptional regulator
81	CP037923.1	86938	87598	-1	EKN05_000410	EKN05_000410	CDS	DedA family protein
82	CP037923.1	87737	88925	-1	EKN05_000415	metC	CDS	cystathionine beta-lyase
83	CP037923.1	89176	89911	1	EKN05_000420	exbB	CDS	biopolymer transporter ExbB
84	CP037923.1	89917	90343	1	EKN05_000425	exbD	CDS	TonB system transport protein ExbD
85	CP037923.1	90614	91499	-1	EKN05_000430	yghA	CDS	NADP(+)-dependent aldehyde reductase
86	CP037923.1	91689	92184	1	EKN05_000435	EKN05_000435	CDS	TIGR00645 family protein
87	CP037923.1	92223	93264	-1	EKN05_000440	EKN05_000440	CDS	L-glyceraldehyde 3-phosphate reductase
88	CP037923.1	93420	94308	1	EKN05_000445	yghYX	CDS	dienelactone hydrolase family protein
89	CP037923.1	94426	94714	1	EKN05_000450	EKN05_000450	CDS	DUF2623 domain-containing protein
90	CP037923.1	94902	96021	1	EKN05_000455	hybO	CDS	hydrogenase 2 small subunit
91	CP037923.1	96023	97010	1	EKN05_000460	hybA	CDS	hydrogenase 2 operon protein HybA
92	CP037923.1	96999	98178	1	EKN05_000465	hybB	CDS	Ni/Fe-hydrogenase cytochrome b subunit
93	CP037923.1	98174	99878	1	EKN05_000470	hybC	CDS	hydrogenase 2 large subunit
94	CP037923.1	99877	100372	1	EKN05_000475	hybD	CDS	HyaD/HybD family hydrogenase maturation endopeptidase
95	CP037923.1	100364	100853	1	EKN05_000480	hybE	CDS	hydrogenase-2 assembly chaperone
96	CP037923.1	100845	101187	1	EKN05_000485	hypA	CDS	hydrogenase maturation nickel metallochaperone HypA
97	CP037923.1	101320	101569	1	EKN05_000490	hybG	CDS	hydrogenase 2 maturation protein
98	CP037923.1	101691	102558	-1	EKN05_000495	yghU	CDS	glutathione-dependent disulfide-bond oxidoreductase
99	CP037923.1	102762	104622	1	EKN05_000500	gsp	CDS	bifunctional glutathionylspermidine amidase/synthase
100	CP037923.1	104913	105180	1	EKN05_000505	EKN05_000505	pseudo	inorganic phosphate transporter
101	CP037923.1	105193	105891	-1	EKN05_000510	EKN05_000510	pseudo	IS1 family transposase
102	CP037923.1	106231	107373	1	EKN05_000515	EKN05_000515	pseudo	N-acetyltransferase
103	CP037923.1	107496	108274	-1	EKN05_000520	glcC	pseudo	transcriptional regulator GlcC
104	CP037923.1	108524	110024	1	EKN05_000525	glcD	pseudo	glycolate oxidase subunit GlcD
105	CP037923.1	110023	111076	1	EKN05_000530	glcE	CDS	glycolate oxidase subunit GlcE
106	CP037923.1	111086	112306	1	EKN05_000535	glcF	pseudo	glycolate oxidase subunit GlcF
107	CP037923.1	112310	112715	1	EKN05_000540	EKN05_000540	CDS	protein GlcG
108	CP037923.1	112736	114908	1	EKN05_000545	glcB	CDS	malate synthase G
109	CP037923.1	115262	116858	1	EKN05_000550	yghK	CDS	glycolate permease glcA
110	CP037923.1	117504	117684	1	EKN05_000555	EKN05_000555	CDS	hypothetical protein
111	CP037923.1	118242	118940	1	EKN05_000560	EKN05_000560	pseudo	IS1 family transposase
112	CP037923.1	119078	119324	-1	EKN05_000565	EKN05_000565	CDS	hypothetical protein
113	CP037923.1	120149	120857	-1	EKN05_000575	yqgA	CDS	DUF554 domain-containing protein
114	CP037923.1	121254	123389	1	EKN05_000580	speC	pseudo	ornithine decarboxylase
115	CP037923.1	123437	124694	-1	EKN05_000585	nupG	CDS	nucleoside permease
116	CP037923.1	124895	125975	-1	EKN05_000590	mltC	CDS	membrane-bound lytic murein transglycosylase MltC
117	CP037923.1	126039	126315	-1	EKN05_000595	EKN05_000595	CDS	oxidative damage protection protein
118	CP037923.1	126342	127395	-1	EKN05_000600	mutY	CDS	adenine DNA glycosylase
119	CP037923.1	127555	128275	1	EKN05_000605	trmB	CDS	tRNA (guanosine(46)-N7)-methyltransferase TrmB
120	CP037923.1	128274	128601	1	EKN05_000610	EKN05_000610	CDS	DUF469 domain-containing protein
121	CP037923.1	128784	129504	1	EKN05_000615	EKN05_000615	CDS	DUF2884 family protein
122	CP037923.1	129679	130726	1	EKN05_000620	ansB	CDS	L-asparaginase 2
123	CP037923.1	130842	131850	1	EKN05_000625	yggM	CDS	DUF1202 family protein
124	CP037923.1	131905	133207	-1	EKN05_000630	EKN05_000630	CDS	TRAP transporter large permease subunit
125	CP037923.1	133206	133710	-1	EKN05_000635	EKN05_000635	CDS	TRAP transporter small permease
126	CP037923.1	133754	134718	-1	EKN05_000640	EKN05_000640	pseudo	TRAP transporter substrate-binding protein
127	CP037923.1	135031	136168	-1	EKN05_000645	hemW	CDS	radical SAM family heme chaperone HemW
128	CP037923.1	136160	136754	-1	EKN05_000650	yggV	CDS	XTP/dITP diphosphatase
129	CP037923.1	136761	137052	-1	EKN05_000655	EKN05_000655	CDS	YggU family protein
130	CP037923.1	137048	137615	-1	EKN05_000660	yggT	CDS	osmotic shock tolerance protein YggT
131	CP037923.1	137632	138337	-1	EKN05_000665	yggS	CDS	pyridoxal phosphate homeostasis protein
132	CP037923.1	138354	139335	1	EKN05_000670	yggR	CDS	type IV pilus twitching motility protein PilT
133	CP037923.1	139510	139927	-1	EKN05_000675	ruvX	CDS	Holliday junction resolvase RuvX
134	CP037923.1	139926	140490	-1	EKN05_000680	EKN05_000680	CDS	YqgE/AlgH family protein
135	CP037923.1	140598	141549	-1	EKN05_000685	gshB	CDS	glutathione synthase
136	CP037923.1	141561	142293	-1	EKN05_000690	rsmE	CDS	16S rRNA (uracil(1498)-N(3))-methyltransferase
137	CP037923.1	142372	143080	-1	EKN05_000695	endA	CDS	deoxyribonuclease I
138	CP037923.1	143174	143672	-1	EKN05_000700	EKN05_000700	CDS	SprT family zinc-dependent metalloprotease
139	CP037923.1	143748	145143	-1	EKN05_000705	galP	CDS	sugar porter family MFS transporter
140	CP037923.1	145579	146734	-1	EKN05_000710	metK	CDS	methionine adenosyltransferase
141	CP037923.1	146789	147041	1	EKN05_000715	EKN05_000715	CDS	DUF2684 family protein
142	CP037923.1	147037	147253	-1	EKN05_000720	EKN05_000720	CDS	hypothetical protein
143	CP037923.1	147388	147520	1	EKN05_000725	EKN05_000725	CDS	virulence promoting factor
144	CP037923.1	147528	149505	1	EKN05_000730	speA	CDS	biosynthetic arginine decarboxylase
145	CP037923.1	149651	150349	1	EKN05_000735	EKN05_000735	pseudo	IS1 family transposase
146	CP037923.1	150365	150749	1	EKN05_000740	EKN05_000740	pseudo	hypothetical protein
147	CP037923.1	150884	151805	1	EKN05_000745	speB	CDS	agmatinase
148	CP037923.1	152005	152764	-1	EKN05_000750	EKN05_000750	CDS	metalloprotease
149	CP037923.1	153041	155033	1	EKN05_000755	tkt	CDS	transketolase
150	CP037923.1	155078	155987	-1	EKN05_000760	EKN05_000760	CDS	prohibitin family protein
151	CP037923.1	156349	157047	1	EKN05_000765	EKN05_000765	pseudo	IS1 family transposase
152	CP037923.1	157253	157951	1	EKN05_000770	EKN05_000770	pseudo	IS1 family transposase
153	CP037923.1	157943	159194	1	EKN05_000775	EKN05_000775	CDS	L-sorbose 1-phosphate reductase
154	CP037923.1	159190	160156	1	EKN05_000780	yggF	CDS	class II fructose-bisphosphatase
155	CP037923.1	160177	160687	1	EKN05_000785	fumE	CDS	fumarase E
156	CP037923.1	160683	161397	1	EKN05_000790	frcK	CDS	nucleoside/nucleotide kinase family protein
157	CP037923.1	161368	162046	-1	EKN05_000795	EKN05_000795	CDS	sulfate/molybdate ABC transporter ATP-binding protein
158	CP037923.1	162039	162717	-1	EKN05_000800	EKN05_000800	CDS	energy-coupling factor ABC transporter ATP-binding protein
159	CP037923.1	162704	163088	-1	EKN05_000805	EKN05_000805	CDS	energy-coupling factor transporter transmembrane protein EcfT
160	CP037923.1	163103	163412	-1	EKN05_000810	EKN05_000810	CDS	hypothetical protein
161	CP037923.1	163412	163991	-1	EKN05_000815	EKN05_000815	CDS	ECF transporter S component
162	CP037923.1	164013	164445	-1	EKN05_000820	EKN05_000820	CDS	DUF296 domain-containing protein
163	CP037923.1	164816	165836	1	EKN05_000825	epd	CDS	erythrose-4-phosphate dehydrogenase
164	CP037923.1	165885	167049	1	EKN05_000830	pgk	CDS	phosphoglycerate kinase
165	CP037923.1	167263	168343	1	EKN05_000835	fbaA	CDS	class II fructose-bisphosphate aldolase
166	CP037923.1	168533	169394	1	EKN05_000840	mscS	CDS	small-conductance mechanosensitive channel MscS
167	CP037923.1	169532	170168	1	EKN05_000845	argO	CDS	arginine exporter ArgO
168	CP037923.1	170260	171001	1	EKN05_000850	EKN05_000850	CDS	oxidative stress defense protein
169	CP037923.1	171167	171590	1	EKN05_000855	EKN05_000855	CDS	LysR family transcriptional regulator
170	CP037923.1	171599	172118	1	EKN05_000860	EKN05_000860	CDS	hypothetical protein
171	CP037923.1	172059	173538	-1	EKN05_000865	scpC	CDS	propionyl-CoA:succinate CoA transferase
172	CP037923.1	173561	174347	-1	EKN05_000870	scpB	CDS	methylmalonyl-CoA decarboxylase
173	CP037923.1	174357	175353	-1	EKN05_000875	meaB	CDS	methylmalonyl Co-A mutase-associated GTPase MeaB
174	CP037923.1	175345	177490	-1	EKN05_000880	scpA	CDS	methylmalonyl-CoA mutase
175	CP037923.1	177693	178587	-1	EKN05_000885	iciA	CDS	LysR family transcriptional regulator ArgP
176	CP037923.1	178969	179629	1	EKN05_000890	rpiA	CDS	ribose-5-phosphate isomerase RpiA
177	CP037923.1	179884	181117	1	EKN05_000895	serA	CDS	D-3-phosphoglycerate dehydrogenase
178	CP037923.1	181345	181405	1	EKN05_000900	ibsC	CDS	type I toxin-antitoxin system toxin IbsC
179	CP037923.1	181737	181797	1	EKN05_000905	EKN05_000905	CDS	type I toxin-antitoxin system Ibs family toxin
180	CP037923.1	181897	182500	-1	EKN05_000910	ygfA	CDS	5-formyltetrahydrofolate cyclo-ligase
181	CP037923.1	182745	183075	-1	EKN05_000920	zapA	CDS	cell division protein ZapA
182	CP037923.1	183242	183821	1	EKN05_000925	ygfB	CDS	UPF0149 family protein YgfB
183	CP037923.1	183846	185172	1	EKN05_000930	pepP	CDS	Xaa-Pro aminopeptidase
184	CP037923.1	185168	186347	1	EKN05_000935	ubiH	CDS	2-octaprenyl-6-methoxyphenyl hydroxylase
185	CP037923.1	186369	187572	1	EKN05_000940	ubiI	CDS	FAD-dependent 2-octaprenylphenol hydroxylase
186	CP037923.1	187645	187729	-1	EKN05_000945	EKN05_000945	CDS	hypothetical protein
187	CP037923.1	188019	189114	1	EKN05_000950	gcvT	CDS	glycine cleavage system aminomethyltransferase GcvT
188	CP037923.1	189137	189527	1	EKN05_000955	gcvH	CDS	glycine cleavage system protein GcvH
189	CP037923.1	189645	192519	1	EKN05_000960	gcvP	CDS	aminomethyl-transferring glycine dehydrogenase
190	CP037923.1	192785	193529	1	EKN05_000965	EKN05_000965	pseudo	SDR family oxidoreductase
191	CP037923.1	193585	195018	-1	EKN05_000970	bglA	pseudo	6-phospho-beta-glucosidase
192	CP037923.1	195062	195373	1	EKN05_000975	EKN05_000975	pseudo	ASCH domain-containing protein
193	CP037923.1	195536	196196	1	EKN05_000980	EKN05_000980	CDS	hemolysin III family protein
194	CP037923.1	196391	197372	-1	EKN05_000985	ygfZ	CDS	tRNA-modifying protein YgfZ
195	CP037923.1	197614	197881	1	EKN05_000990	sdhE	CDS	FAD assembly factor SdhE
196	CP037923.1	197861	198269	1	EKN05_000995	EKN05_000995	CDS	hypothetical protein
197	CP037923.1	198308	198830	-1	EKN05_001000	fldB	CDS	flavodoxin FldB
198	CP037923.1	198941	199838	1	EKN05_001005	xerD	CDS	tyrosine recombinase XerD
199	CP037923.1	199862	200573	1	EKN05_001010	dsbC	CDS	bifunctional protein-disulfide isomerase/oxidoreductase DsbC
200	CP037923.1	200578	202312	1	EKN05_001015	recJ	CDS	single-stranded-DNA-specific exonuclease RecJ
201	CP037923.1	202402	203501	1	EKN05_001020	prfB	CDS	peptide chain release factor 2
202	CP037923.1	203510	205028	1	EKN05_001025	lysS	CDS	lysine--tRNA ligase
203	CP037923.1	205070	205619	-1	EKN05_001030	EKN05_001030	CDS	isopentenyl-diphosphate Delta-isomerase
204	CP037923.1	205673	205745	1	EKN05_001035	EKN05_001035	CDS	hypothetical protein
205	CP037923.1	205741	205867	-1	EKN05_001040	EKN05_001040	CDS	hypothetical protein
206	CP037923.1	205868	207317	-1	EKN05_001045	ygfU	CDS	purine permease
207	CP037923.1	207641	208339	-1	EKN05_001050	EKN05_001050	pseudo	IS1 family transposase
208	CP037923.1	208451	208931	-1	EKN05_001055	xdhC	CDS	xanthine dehydrogenase iron sulfur-binding subunit XdhC
209	CP037923.1	208927	209806	-1	EKN05_001060	xdhB	CDS	xanthine dehydrogenase FAD-binding subunit XdhB
210	CP037923.1	209816	212113	-1	EKN05_001065	xdhA	pseudo	xanthine dehydrogenase molybdenum-binding subunit XdhA
211	CP037923.1	212435	213133	-1	EKN05_001070	EKN05_001070	pseudo	IS1 family transposase
212	CP037923.1	213304	214060	1	EKN05_001075	EKN05_001075	CDS	LysM peptidoglycan-binding domain-containing protein
213	CP037923.1	214433	214979	1	EKN05_001085	EKN05_001085	pseudo	hypothetical protein
214	CP037923.1	215010	216173	-1	EKN05_001090	EKN05_001090	CDS	IS3 family transposase
215	CP037923.1	216219	216408	-1	EKN05_001095	EKN05_001095	CDS	hypothetical protein
216	CP037923.1	216807	218032	-1	EKN05_001100	EKN05_001100	pseudo	HAAAP family serine/threonine permease
217	CP037923.1	218286	219468	1	EKN05_001105	yqeF	CDS	acetyl-CoA C-acetyltransferase
218	CP037923.1	219754	220591	1	EKN05_001110	kduI	CDS	5-dehydro-4-deoxy-D-glucuronate isomerase
219	CP037923.1	220620	221382	1	EKN05_001115	kduD	CDS	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD
220	CP037923.1	221696	223115	1	EKN05_001120	araE	CDS	MFS transporter
221	CP037923.1	223243	223936	1	EKN05_001125	ygeA	CDS	aspartate/glutamate racemase
222	CP037923.1	223922	224858	-1	EKN05_001130	lysR	CDS	LysR family transcriptional regulator
223	CP037923.1	224979	226242	1	EKN05_001135	lysA	CDS	diaminopimelate decarboxylase
224	CP037923.1	226248	227280	-1	EKN05_001140	galR	CDS	HTH-type transcriptional regulator GalR
225	CP037923.1	227865	230025	1	EKN05_001145	aas	CDS	bifunctional acyl-ACP--phospholipid O-acyltransferase/long-chain-fatty-acid--ACP ligase
226	CP037923.1	230017	231209	1	EKN05_001150	lplT	pseudo	lysophospholipid transporter LplT
227	CP037923.1	231241	232282	-1	EKN05_001155	tas	CDS	NADP(H)-dependent aldo-keto reductase
228	CP037923.1	232389	232608	-1	EKN05_001160	ygdR	CDS	lipoprotein YgdR
229	CP037923.1	232745	233459	-1	EKN05_001165	EKN05_001165	CDS	TerC family protein
230	CP037923.1	233527	234217	-1	EKN05_001170	mutH	CDS	DNA mismatch repair endonuclease MutH
231	CP037923.1	234395	234590	-1	EKN05_001175	EKN05_001175	CDS	hypothetical protein
232	CP037923.1	234901	235432	1	EKN05_001180	rppH	CDS	RNA pyrophosphohydrolase
233	CP037923.1	235444	237691	1	EKN05_001185	ptsP	CDS	phosphoenolpyruvate--protein phosphotransferase
234	CP037923.1	237841	238717	1	EKN05_001190	lgt	CDS	prolipoprotein diacylglyceryl transferase
235	CP037923.1	238723	239518	1	EKN05_001195	thyA	CDS	thymidylate synthase
236	CP037923.1	239701	240172	1	EKN05_001200	EKN05_001200	pseudo	prepilin peptidase-dependent protein
237	CP037923.1	240162	240726	1	EKN05_001205	EKN05_001205	CDS	prepilin peptidase-dependent protein
238	CP037923.1	240722	241130	1	EKN05_001210	EKN05_001210	CDS	DUF2509 family protein
239	CP037923.1	241114	241438	1	EKN05_001215	EKN05_001215	CDS	prepilin-type N-terminal cleavage/methylation domain-containing protein
240	CP037923.1	241450	244819	1	EKN05_001220	recC	CDS	exodeoxyribonuclease V subunit gamma
241	CP037923.1	244994	247883	1	EKN05_001225	ptr	CDS	pitrilysin
242	CP037923.1	247875	251418	1	EKN05_001230	recB	CDS	exodeoxyribonuclease V subunit beta
243	CP037923.1	251417	253244	1	EKN05_001235	recD	CDS	exodeoxyribonuclease V subunit alpha
244	CP037923.1	253305	254637	-1	EKN05_001240	argA	CDS	amino-acid N-acetyltransferase
245	CP037923.1	254868	256122	1	EKN05_001245	EKN05_001245	CDS	N-acetylmuramoyl-L-alanine amidase
246	CP037923.1	256591	257689	1	EKN05_001260	mltA	CDS	murein transglycosylase A
247	CP037923.1	257927	258734	1	EKN05_001265	tcdA	CDS	tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA
248	CP037923.1	258784	259228	-1	EKN05_001270	csdE	CDS	cysteine desulfurase sulfur acceptor subunit CsdE
249	CP037923.1	259227	260433	-1	EKN05_001275	csdA	CDS	cysteine desulfurase CsdA
250	CP037923.1	260624	260807	1	EKN05_001280	EKN05_001280	CDS	YgdI/YgdR family lipoprotein
251	CP037923.1	261202	262120	1	EKN05_001285	gcvA	CDS	transcriptional regulator GcvA
252	CP037923.1	262138	262534	1	EKN05_001290	EKN05_001290	CDS	DUF423 domain-containing protein
253	CP037923.1	262526	263627	1	EKN05_001295	rlmM	CDS	23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM
254	CP037923.1	263670	264402	-1	EKN05_001300	fucR	CDS	L-fucose operon activator
255	CP037923.1	264459	264882	-1	EKN05_001305	fucU	CDS	L-fucose mutarotase
256	CP037923.1	264883	266303	-1	EKN05_001310	fucK	pseudo	L-fuculokinase
257	CP037923.1	266411	268187	-1	EKN05_001315	fucI	CDS	L-fucose isomerase
258	CP037923.1	268219	269536	-1	EKN05_001320	fucP	CDS	L-fucose:H+ symporter permease
259	CP037923.1	270082	270730	1	EKN05_001325	fucA	CDS	L-fuculose-phosphate aldolase
260	CP037923.1	270757	271906	1	EKN05_001330	fucO	CDS	lactaldehyde reductase
261	CP037923.1	271958	272714	-1	EKN05_001335	xni	CDS	flap endonuclease Xni
262	CP037923.1	272824	274192	-1	EKN05_001340	sdaB	CDS	L-serine ammonia-lyase
263	CP037923.1	274249	275539	-1	EKN05_001345	sdaC	CDS	HAAAP family serine/threonine permease
264	CP037923.1	276102	277431	-1	EKN05_001350	EKN05_001350	CDS	IS4 family transposase
265	CP037923.1	277762	278104	1	EKN05_001355	raiA	CDS	ribosome-associated translation inhibitor RaiA
266	CP037923.1	278207	278255	1	EKN05_001360	EKN05_001360	CDS	Phe operon leader peptide
267	CP037923.1	278353	279514	1	EKN05_001365	pheA	CDS	bifunctional chorismate mutase/prephenate dehydratase
268	CP037923.1	279556	280678	-1	EKN05_001370	tyrA	CDS	bifunctional chorismate mutase/prephenate dehydrogenase
269	CP037923.1	280688	281759	-1	EKN05_001375	aroF	CDS	3-deoxy-7-phosphoheptulonate synthase AroF
270	CP037923.1	281968	282334	1	EKN05_001380	EKN05_001380	CDS	DUF2799 domain-containing protein
271	CP037923.1	282483	283002	1	EKN05_001385	EKN05_001385	CDS	YfiR family protein
272	CP037923.1	282991	284217	1	EKN05_001390	dgcN	pseudo	diguanylate cyclase DgcN
273	CP037923.1	284232	284715	1	EKN05_001395	yfiB	CDS	OmpA family protein
274	CP037923.1	284791	285139	-1	EKN05_001400	rplS	CDS	50S ribosomal protein L19
275	CP037923.1	285180	285948	-1	EKN05_001405	trmD	CDS	tRNA (guanosine(37)-N1)-methyltransferase TrmD
276	CP037923.1	285978	286527	-1	EKN05_001410	rimM	CDS	ribosome maturation factor RimM
277	CP037923.1	286545	286794	-1	EKN05_001415	rpsP	CDS	30S ribosomal protein S16
278	CP037923.1	286930	288292	-1	EKN05_001420	ffh	CDS	signal recognition particle protein
